Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1u,C_0805_2012Metric,36.24,-37.8,90.0,top
C11,10u,C_0805_2012Metric,38.37,-37.82,90.0,top
C12,100n,C_0603_1608Metric,29.0,-30.0,-90.0,top
C6,1u,C_0805_2012Metric,34.15,-42.35,-90.0,top
C7,100n,C_0603_1608Metric,31.275,-30.8,180.0,top
C8,100n,C_0603_1608Metric,33.33,-35.805,-90.0,top
C9,100n,C_0603_1608Metric,27.5,-30.05,90.0,top
R7,100,R_0603_1608Metric,30.5,-28.5,90.0,top
R8,100,R_0603_1608Metric,32.0,-28.5,90.0,top
U1,ADS1220xPW,TSSOP-16_4.4x5mm_P0.65mm,29.65,-35.7125,90.0,top
U5,RS3236-3.3,SOT-23-5,37.08,-41.7525,90.0,top
