Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1u,C_0805_2012Metric,36.24,-37.8,90.0,top
C11,10u,C_0805_2012Metric,38.37,-37.82,90.0,top
C12,100n,C_0603_1608Metric,33.8,-39.075,-90.0,top
C6,1u,C_0805_2012Metric,34.15,-42.35,-90.0,top
C7,100n,C_0603_1608Metric,29.9,-28.45,-90.0,top
C8,100n,C_0603_1608Metric,33.8,-36.075,90.0,top
C9,100n,C_0603_1608Metric,31.4,-42.175,-90.0,top
R10,10k,R_0603_1608Metric,26.45,-22.1,90.0,top
R11,10k,R_0603_1608Metric,26.45,-25.2,-90.0,top
R12,10k,R_0603_1608Metric,26.37,-28.285,-90.0,top
R7,100,R_0603_1608Metric,32.24,-29.21,0.0,top
R8,100,R_0603_1608Metric,32.225,-27.7,0.0,top
U5,RS3236-3.3,SOT-23-5,37.08,-41.7525,90.0,top
U6,HX717,SOP-16_3.9x9.9mm_P1.27mm,29.2,-35.335,180.0,top
