Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,100n,C_0603_1608Metric,111.5,-119.5,-90.0,top
C11,100n,C_0603_1608Metric,111.75,-130.525,90.0,top
C12,100n,C_0603_1608Metric,113.775,-138.5,180.0,top
C13,100n,C_0603_1608Metric,126.0,-119.5,90.0,top
C14,100n,C_0603_1608Metric,122.775,-114.0,180.0,top
C15,220n,C_0603_1608Metric,127.75,-121.975,90.0,top
C16,1u,C_0805_2012Metric,130.275,-116.05,90.0,top
C17,100n,C_0603_1608Metric,132.75,-123.025,-90.0,top
C18,1u,C_0805_2012Metric,123.0,-116.0,180.0,top
C19,10u,C_0805_2012Metric,123.0,-118.0,180.0,top
C20,100n,C_0603_1608Metric,123.0,-120.0,0.0,top
C21,100n,C_0603_1608Metric,113.25,-108.25,0.0,top
C22,100n,C_0603_1608Metric,108.325,-113.975,-90.0,top
C23,100n,C_0603_1608Metric,108.425,-135.975,90.0,top
C24,100n,C_0603_1608Metric,119.5,-141.675,180.0,top
C9,100n,C_0603_1608Metric,118.75,-111.5,0.0,top
R1,100,R_0603_1608Metric,120.0,-109.0,90.0,top
R10,10k,R_0603_1608Metric,132.75,-119.925,90.0,top
R2,100,R_0603_1608Metric,117.5,-109.0,90.0,top
R3,100,R_0603_1608Metric,109.075,-120.75,180.0,top
R4,100,R_0603_1608Metric,109.075,-118.25,180.0,top
R5,100,R_0603_1608Metric,109.175,-129.25,180.0,top
R6,100,R_0603_1608Metric,109.175,-131.75,180.0,top
R7,100,R_0603_1608Metric,112.5,-140.925,-90.0,top
R8,100,R_0603_1608Metric,115.0,-140.925,-90.0,top
R9,10k,R_0603_1608Metric,125.175,-129.0,0.0,top
U1,ADS131M04xPW,TSSOP-20_4.4x6.5mm_P0.65mm,122.8625,-124.625,0.0,top
U2,RS3236-3.3,SOT-23-5,127.1375,-116.0,180.0,top
Y1,SiT8008xx-7x-xxE,Oscillator_SMD_SiT_PQFN-4Pin_2.0x1.6mm,130.25,-119.9,180.0,top
